207851
5324	10977	75
10880	10977	75
10880	10977	311
2119	10977	311
326	10977	75
10977	5324	75
10977	326	75
10977	8967	75
10977	10499	75
10977	12067	75
10977	10880	75
10977	1026	75
10977	10977	56
10977	16327	200
10977	11760	200
10977	5222	200
10977	12734	214
10977	2613	214
10977	3982	49
10977	12734	27
10977	4672	255
10977	6969	236
10977	13149	311
10977	2119	311
10977	10880	311
10977	12734	47
10977	4049	183
14324	10977	21
10718	10977	265
14624	10977	58
8967	10977	75
12067	10977	75
10499	10977	75
17602	10977	56
1026	10977	75
13149	10977	311
4672	10977	140
12734	10977	28
12734	10977	56
481	10977	115
16184	10977	115
6167	10977	115
3742	10977	115
4608	10977	115
15200	10977	115
3400	10977	115
10977	13289	231
10977	11760	180
10387	10977	115
271	10977	115
8548	10977	115
13075	10977	58
11576	10880	59
11576	5770	60
11576	4589	169
11576	4589	248
11576	201	249
11576	13997	215
3112	11563	229
3112	13946	229
3112	11597	229
3112	10880	58
3112	10415	265
14689	3112	30
6010	10415	215
6010	7623	126
6010	15941	126
6010	15741	126
6010	10796	281
6010	10880	59
6010	3175	224
6010	4589	248
6010	10415	116
6010	10796	82
6010	16520	40
6010	4590	30
6010	10316	30
6010	15215	30
6010	7109	30
6010	14362	30
14362	6010	226
6010	8405	224
6010	17726	112
6010	10880	115
6010	5325	191
6010	7687	191
6010	14428	191
13325	11139	30
6572	11139	30
2857	11139	30
14781	11139	30
15489	11139	30
9391	11139	30
13998	11139	30
10844	11139	358
11139	4578	96
11139	3757	265
11139	10844	224
11139	534	224
11139	4237	224
11139	11563	229
11139	11597	229
11139	13946	229
11139	8044	229
11139	10844	18
11139	10880	58
11139	16932	18
16426	11139	30
2190	8085	260
15489	8085	30
10844	8085	358
8085	2190	260
8085	7885	265
8085	7172	93
8085	11563	229
8085	17726	58
3337	8085	30
13291	8085	30
8085	16053	96
8085	16932	18
4768	7383	202
7383	2898	322
7383	326	56
7383	326	57
8108	7383	202
1006	7383	202
659	7383	202
15733	7383	202
995	7383	202
11641	7383	202
2238	7383	202
11292	7383	202
12750	14303	275
4063	14303	275
5204	14303	275
4943	14303	275
5369	14303	275
7115	14303	275
4113	14303	275
14303	2898	322
8108	14303	275
1006	14303	275
17265	14303	275
659	14303	275
5809	14303	275
14339	14303	275
17274	14303	275
4352	14303	275
8819	14303	275
11536	14303	275
5169	14303	275
6128	14303	275
6408	14303	275
14829	14303	275
13074	14303	275
17294	14303	275
12790	14303	275
10838	14303	275
8317	14303	275
661	14303	275
8368	14303	275
7810	14303	275
4385	14303	275
10177	14303	275
5665	14303	275
9343	14303	275
13011	14303	275
5119	14303	275
5564	14303	275
7665	14303	275
15658	14303	275
16063	14303	275
5334	14303	275
3924	14303	275
13442	14303	275
1677	14303	275
3119	14303	275
13240	14303	275
13723	14303	275
8135	14303	275
7214	14303	275
17500	14303	275
7536	14303	275
12055	14303	275
12618	14303	275
11658	14303	275
2610	14303	275
13054	14303	275
7040	14303	275
5956	14303	275
429	14303	275
17649	14303	275
13382	14303	275
10563	14303	275
16823	14303	275
15454	14303	275
6967	14303	275
9519	14303	275
15533	14303	275
6234	14303	275
16294	14303	275
1328	14303	275
16289	14303	275
5384	14303	275
543	14303	275
11164	14303	275
15320	14303	275
16342	14303	275
13701	14303	275
6293	14303	275
14715	14303	275
16998	14303	275
15631	14303	275
6881	14303	275
7947	14303	275
4768	2482	275
2482	16003	244
2482	2898	322
2482	2898	109
8772	2482	275
16003	2482	244
14895	2482	275
2798	2482	275
8303	2482	275
16628	2482	275
13319	2482	275
4251	2482	275
14948	2482	275
11177	2482	275
2298	2482	275
1211	2482	275
4444	2482	275
12214	2482	275
15436	2482	275
10890	2482	275
6032	2482	275
11709	2482	275
5007	2482	275
14981	2482	275
10741	2482	275
11474	2482	275
7294	2482	275
3034	2482	275
14000	2482	275
10442	2482	275
10155	2482	275
